,Reason 1,Reason 3,Reason 2,Reason 4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Month,Day of the Week,Excessive Absenteeism
180,1,0,0,0,279,5,39,343.25300000000004,24,0,2,0,3,3,1
181,0,0,0,1,225,26,28,343.25300000000004,24,0,1,2,3,4,0
182,1,0,0,0,248,25,47,343.25300000000004,32,0,2,1,3,4,0
183,0,0,0,1,225,26,28,343.25300000000004,24,0,1,2,3,0,0
184,0,0,0,1,291,31,40,326.452,25,0,1,1,4,2,0
185,0,0,0,1,225,26,28,326.452,24,0,1,2,4,2,0
186,0,0,0,1,155,12,34,326.452,25,0,2,0,4,1,0
187,1,0,0,0,246,25,41,326.452,23,0,0,0,4,2,1
188,0,0,0,1,155,12,34,326.452,25,0,2,0,4,3,0
189,0,0,0,1,225,26,28,326.452,24,0,1,2,4,4,0
190,0,0,0,1,260,50,36,326.452,23,0,4,0,4,4,1
191,1,0,0,0,179,51,38,326.452,31,0,0,0,4,2,1
192,0,0,0,1,118,13,50,326.452,31,0,1,0,4,3,0
193,0,0,0,1,291,31,40,326.452,25,0,1,1,4,4,0
194,1,0,0,0,246,25,41,326.452,23,0,0,0,4,4,1
195,0,0,0,1,291,31,40,326.452,25,0,1,1,4,4,0
196,0,0,0,1,248,25,47,326.452,32,0,2,1,4,4,1
197,0,1,0,0,260,50,36,326.452,23,0,4,0,4,4,1
198,0,1,0,0,289,36,33,326.452,30,0,2,1,4,1,1
199,1,0,0,0,155,12,34,326.452,25,0,2,0,4,2,1
200,0,1,0,0,378,49,36,326.452,21,0,2,4,4,2,1
201,1,0,0,0,289,36,33,326.452,30,0,2,1,4,3,1
202,1,0,0,0,235,11,37,326.452,29,1,1,1,4,4,0
203,0,0,0,0,235,29,48,326.452,33,0,1,5,4,0,0
204,1,0,0,0,289,36,33,378.884,30,0,2,1,5,2,1
205,0,0,0,1,155,12,34,378.884,25,0,2,0,5,3,0
206,0,0,0,1,155,12,34,378.884,25,0,2,0,5,0,0
207,0,1,0,0,179,51,38,378.884,31,0,0,0,5,1,1
208,0,1,0,0,225,26,28,378.884,24,0,1,2,5,1,1
209,1,0,0,0,184,42,27,378.884,21,0,0,0,5,2,1
210,0,0,0,1,155,12,34,378.884,25,0,2,0,5,0,0
211,1,0,0,0,179,51,38,378.884,31,0,0,0,5,1,0
212,1,0,0,0,289,36,33,378.884,30,0,2,1,5,2,1
213,0,0,0,0,279,5,39,378.884,24,0,2,0,5,2,0
214,0,0,0,0,330,16,28,378.884,25,1,0,0,5,2,0
215,0,0,0,0,378,49,36,378.884,21,0,2,4,5,2,0
216,0,0,0,0,388,15,50,378.884,24,0,0,0,5,2,0
217,1,0,0,0,179,51,38,378.884,31,0,0,0,5,1,0
218,1,0,0,0,118,13,50,378.884,31,0,1,0,5,2,1
219,0,0,0,1,361,52,28,378.884,27,0,1,4,5,4,1
220,0,1,0,0,246,25,41,377.55,23,0,0,0,6,0,1
221,0,0,0,1,361,52,28,377.55,27,0,1,4,6,0,1
222,1,0,0,0,246,25,41,377.55,23,0,0,0,6,1,1
223,0,0,0,1,291,31,40,377.55,25,0,1,1,6,3,1
224,1,0,0,0,246,25,41,377.55,23,0,0,0,6,4,1
225,1,0,0,0,179,51,38,377.55,31,0,0,0,6,0,1
226,0,0,0,1,155,12,34,377.55,25,0,2,0,6,0,1
227,1,0,0,0,246,25,41,377.55,23,0,0,0,6,0,1
228,1,0,0,0,118,13,50,377.55,31,0,1,0,6,2,1
229,1,0,0,0,235,11,37,377.55,29,1,1,1,6,4,1
230,0,0,0,1,118,13,50,377.55,31,0,1,0,6,1,0
231,1,0,0,0,118,13,50,377.55,31,0,1,0,6,2,1
232,0,0,0,1,378,49,36,377.55,21,0,2,4,6,3,1
233,1,0,0,0,179,51,38,377.55,31,0,0,0,6,4,0
234,0,0,0,1,289,48,49,377.55,36,0,0,2,6,0,0
235,0,0,0,1,225,26,28,377.55,24,0,1,2,6,3,0
236,0,1,0,0,155,12,34,275.312,25,0,2,0,7,1,1
237,1,0,0,0,118,13,50,275.312,31,0,1,0,7,2,1
238,1,0,0,0,118,10,37,275.312,28,0,0,0,7,4,1
239,0,0,0,1,118,10,37,275.312,28,0,0,0,7,4,1
240,0,0,0,1,330,16,28,275.312,25,1,0,0,7,1,1
241,0,1,0,0,179,26,30,275.312,19,1,0,0,7,3,1
242,0,0,0,1,155,12,34,275.312,25,0,2,0,7,4,0
243,1,0,0,0,330,16,28,275.312,25,1,0,0,7,0,1
244,1,0,0,0,330,16,28,275.312,25,1,0,0,7,1,1
245,0,0,0,1,157,27,29,275.312,22,0,0,0,7,0,0
246,0,0,0,1,361,52,28,275.312,27,0,1,4,7,1,1
247,0,0,0,1,289,36,33,275.312,30,0,2,1,7,2,1
248,0,0,0,1,179,51,38,275.312,31,0,0,0,7,3,1
249,0,1,0,0,289,36,33,275.312,30,0,2,1,7,0,1
250,0,1,0,0,289,36,33,275.312,30,0,2,1,7,3,1
251,0,0,0,0,260,50,36,275.312,23,0,4,0,7,3,0
252,0,1,0,0,289,36,33,265.615,30,0,2,1,8,3,1
253,0,1,0,0,157,27,29,265.615,22,0,0,0,8,3,0
254,0,0,0,1,289,36,33,265.615,30,0,2,1,8,6,0
255,0,1,0,0,228,14,58,265.615,22,0,2,1,8,0,1
256,1,0,0,0,300,26,43,265.615,25,0,2,1,8,2,0
257,1,0,0,0,300,26,43,265.615,25,0,2,1,8,2,0
258,0,0,0,1,260,50,36,265.615,23,0,4,0,8,3,1
259,0,0,0,1,289,36,33,265.615,30,0,2,1,8,0,1
260,0,0,0,1,248,25,47,265.615,32,0,2,1,8,1,0
261,1,0,0,0,268,11,33,265.615,25,1,0,0,8,2,1
262,0,0,0,1,179,26,30,265.615,19,1,0,0,8,2,0
263,1,0,0,0,118,13,50,265.615,31,0,1,0,8,2,0
264,0,0,0,1,248,25,47,265.615,32,0,2,1,8,6,0
265,0,0,0,1,235,11,37,265.615,29,1,1,1,8,0,0
266,0,0,0,1,118,13,50,265.615,31,0,1,0,8,2,0
267,0,1,0,0,235,11,37,265.615,29,1,1,1,8,2,1
268,1,0,0,0,361,52,28,265.615,27,0,1,4,8,0,1
269,1,0,0,0,184,42,27,265.615,21,0,0,0,8,1,1
270,1,0,0,0,179,51,38,294.217,31,0,0,0,9,0,1
271,0,0,0,1,179,51,38,294.217,31,0,0,0,9,4,0
272,0,1,0,0,289,36,33,294.217,30,0,2,1,9,2,1
273,0,0,0,0,235,20,43,294.217,38,0,1,0,9,3,0
274,1,0,0,0,246,25,41,294.217,23,0,0,0,9,0,1
275,0,0,0,1,291,31,40,294.217,25,0,1,1,9,1,0
276,0,0,0,0,231,35,39,294.217,35,0,2,2,9,1,0
277,0,0,0,0,291,50,32,294.217,23,0,0,0,9,1,0
278,1,0,0,0,179,51,38,294.217,31,0,0,0,9,2,1
279,1,0,0,0,246,25,41,294.217,23,0,0,0,9,2,1
280,0,0,0,1,179,51,38,294.217,31,0,0,0,9,3,0
281,0,0,0,1,291,31,40,294.217,25,0,1,1,9,4,1
282,0,0,0,1,260,50,36,294.217,23,0,4,0,9,4,1
283,0,0,0,1,235,20,43,294.217,38,0,1,0,9,2,1
284,0,0,0,1,118,13,50,294.217,31,0,1,0,9,3,0
285,0,0,0,0,235,20,43,294.217,38,0,1,0,9,3,0
286,0,0,0,1,291,31,40,294.217,25,0,1,1,9,4,0
287,1,0,0,0,291,31,40,294.217,25,0,1,1,9,0,1
288,1,0,0,0,179,51,38,294.217,31,0,0,0,9,0,1
289,0,0,0,1,289,36,33,265.017,30,0,2,1,10,2,1
290,0,0,0,1,235,11,37,265.017,29,1,1,1,10,2,1
291,0,0,0,1,289,36,33,265.017,30,0,2,1,10,2,1
292,0,0,0,1,289,36,33,265.017,30,0,2,1,10,3,1
293,0,0,0,0,118,13,50,265.017,31,0,1,0,10,3,0
294,0,0,0,0,248,25,47,265.017,32,0,2,1,10,3,0
295,1,0,0,0,179,26,30,265.017,19,1,0,0,10,2,1
296,1,0,0,0,118,10,37,265.017,28,0,0,0,10,2,0
297,0,0,0,1,369,17,31,265.017,25,0,3,0,10,2,1
298,0,0,0,1,179,51,38,265.017,31,0,0,0,10,4,0
299,1,0,0,0,179,26,30,265.017,19,1,0,0,10,4,1
300,0,0,0,0,235,20,43,265.017,38,0,1,0,10,4,0
301,0,1,0,0,289,36,33,265.017,30,0,2,1,10,5,1
302,0,0,0,1,260,50,36,265.017,23,0,4,0,10,6,0
303,0,0,0,0,235,20,43,265.017,38,0,1,0,10,6,0
304,0,0,0,1,235,20,43,265.017,38,0,1,0,10,2,0
305,0,0,0,1,235,20,43,265.017,38,0,1,0,10,2,0
306,0,0,0,1,118,13,50,265.017,31,0,1,0,10,3,0
307,0,0,0,1,291,31,40,265.017,25,0,1,1,10,3,1
308,0,0,0,1,179,26,30,265.017,19,1,0,0,10,5,1
309,0,0,0,1,118,13,50,265.017,31,0,1,0,10,5,0
310,1,0,0,0,361,52,28,265.017,27,0,1,4,10,2,1
311,0,0,0,0,260,50,36,265.017,23,0,4,0,10,3,0
312,0,0,0,0,291,31,40,265.017,25,0,1,1,10,3,0
313,0,0,0,0,157,27,29,265.017,22,0,0,0,10,3,0
314,1,0,0,0,179,26,30,265.017,19,1,0,0,10,4,1
315,1,0,0,0,179,26,30,265.017,19,1,0,0,10,4,1
316,0,0,0,1,118,13,50,265.017,31,0,1,0,10,5,0
317,1,0,0,0,118,10,37,284.031,28,0,0,0,11,0,1
318,0,0,0,1,248,25,47,284.031,32,0,2,1,11,0,0
319,1,0,0,0,179,51,38,284.031,31,0,0,0,11,1,1
320,0,0,0,1,260,50,36,284.031,23,0,4,0,11,4,0
321,0,0,0,1,291,31,40,284.031,25,0,1,1,11,0,0
322,1,0,0,0,378,49,36,284.031,21,0,2,4,11,0,1
323,1,0,0,0,155,12,34,284.031,25,0,2,0,11,0,1
324,0,0,0,1,235,20,43,284.031,38,0,1,0,11,0,1
325,0,0,0,0,330,16,28,284.031,25,1,0,0,11,1,0
326,0,1,0,0,235,11,37,284.031,29,1,1,1,11,2,0
327,1,0,0,0,118,10,37,284.031,28,0,0,0,11,2,0
328,0,0,0,1,235,11,37,284.031,29,1,1,1,11,3,0
329,0,0,0,1,179,51,38,284.031,31,0,0,0,11,3,0
330,1,0,0,0,246,25,41,284.031,23,0,0,0,11,4,1
331,1,0,0,0,291,31,40,284.031,25,0,1,1,11,4,1
332,1,0,0,0,246,25,41,284.031,23,0,0,0,11,0,1
333,0,0,0,1,179,51,38,284.031,31,0,0,0,11,1,0
334,1,0,0,0,260,50,36,284.031,23,0,4,0,11,2,1
335,0,0,1,0,260,50,36,284.031,23,0,4,0,11,4,1
336,0,0,0,0,378,49,36,284.031,21,0,2,4,11,4,0
337,0,0,0,0,279,5,39,284.031,24,0,2,0,11,1,0
338,0,0,0,1,179,51,38,284.031,31,0,0,0,11,3,0
339,1,0,0,0,225,26,28,236.62900000000002,24,0,1,2,12,0,0
340,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,0,0
341,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,0,0
342,0,0,0,1,235,11,37,236.62900000000002,29,1,1,1,12,0,0
343,0,0,0,1,118,13,50,236.62900000000002,31,0,1,0,12,1,0
344,0,0,0,1,260,50,36,236.62900000000002,23,0,4,0,12,4,1
345,1,0,0,0,246,25,41,236.62900000000002,23,0,0,0,12,3,1
346,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,3,0
347,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,4,0
348,0,0,0,1,179,26,30,236.62900000000002,19,1,0,0,12,1,0
349,0,0,0,1,118,10,37,236.62900000000002,28,0,0,0,12,1,1
350,0,0,0,1,235,11,37,236.62900000000002,29,1,1,1,12,3,0
351,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,4,0
352,1,0,0,0,235,20,43,236.62900000000002,38,0,1,0,12,1,1
353,1,0,0,0,235,11,37,236.62900000000002,29,1,1,1,12,1,1
354,0,0,0,1,260,50,36,236.62900000000002,23,0,4,0,12,2,1
355,0,0,0,1,157,27,29,236.62900000000002,22,0,0,0,12,0,0
356,0,0,0,1,179,51,38,236.62900000000002,31,0,0,0,12,0,0
357,0,1,0,0,289,36,33,236.62900000000002,30,0,2,1,12,0,1
358,0,0,0,1,225,26,28,330.061,24,0,1,2,1,2,1
359,0,1,0,0,118,10,37,330.061,28,0,0,0,1,0,1
360,0,0,0,1,155,12,34,330.061,25,0,2,0,1,0,0
361,1,0,0,0,235,11,37,330.061,29,1,1,1,1,1,0
362,0,0,0,1,155,12,34,330.061,25,0,2,0,1,1,1
363,0,0,0,1,289,36,33,330.061,30,0,2,1,1,0,1
364,1,0,0,0,291,31,40,330.061,25,0,1,1,1,2,1
365,0,0,0,1,235,20,43,330.061,38,0,1,0,1,0,1
366,0,0,0,1,118,13,50,330.061,31,0,1,0,1,0,1
367,0,0,0,1,179,51,38,330.061,31,0,0,0,1,2,0
368,0,0,0,1,179,51,38,330.061,31,0,0,0,1,4,0
369,0,0,0,1,118,10,37,251.81799999999998,28,0,0,0,2,1,0
370,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,2,0
371,1,0,0,0,225,26,28,251.81799999999998,24,0,1,2,2,2,0
372,0,0,0,1,289,36,33,251.81799999999998,30,0,2,1,2,4,0
373,0,0,0,1,260,50,36,251.81799999999998,23,0,4,0,2,4,0
374,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,4,0
375,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,0,0
376,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,2,0
377,1,0,0,0,179,51,38,251.81799999999998,31,0,0,0,2,3,1
378,0,0,0,1,246,25,41,251.81799999999998,23,0,0,0,2,3,1
379,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,4,0
380,0,0,0,1,189,29,33,251.81799999999998,25,0,2,2,2,0,1
381,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,0,0
382,0,0,0,1,246,25,41,251.81799999999998,23,0,0,0,2,1,0
383,0,0,0,1,291,31,40,251.81799999999998,25,0,1,1,2,1,0
384,1,0,0,0,157,27,29,251.81799999999998,22,0,0,0,2,2,1
385,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,2,0
386,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,4,0
387,1,0,0,0,246,25,41,251.81799999999998,23,0,0,0,2,4,1
388,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,2,0
389,0,0,0,1,179,51,38,251.81799999999998,31,0,0,0,2,4,0
390,0,1,0,0,118,10,37,244.387,28,0,0,0,3,1,1
391,0,1,0,0,246,25,41,244.387,23,0,0,0,3,2,1
392,0,0,0,1,246,25,41,244.387,23,0,0,0,3,4,0
393,0,0,0,1,260,50,36,244.387,23,0,4,0,3,4,1
394,0,0,0,1,179,51,38,244.387,31,0,0,0,3,0,0
395,0,0,0,1,235,11,37,244.387,29,1,1,1,3,0,1
396,0,0,0,1,179,22,40,244.387,22,1,2,0,3,1,1
397,0,0,0,1,378,49,36,244.387,21,0,2,4,3,1,1
